Genero.especie,Nombre_aceptado_GBIF,Nombre_aceptado_rWCVP,Nombre_aceptado_WFO,Comparacion_tres_fuentes,Detalle_comparacion
Rorippa.indica,Rorippa indica,Rorippa indica,Rorippa indica,Coinciden,Coinciden las tres fuentes
Rosa.eglanteria,,Rosa rubiginosa,Rosa rubiginosa,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Rosa.rubiginosa,Rosa rubiginosa,Rosa rubiginosa,Rosa rubiginosa,Coinciden,Coinciden las tres fuentes
Rosa.multiflora,Rosa multiflora,,Rosa multiflora,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Rosa.setigera,Rosa setigera,Rosa setigera,Rosa setigera,Coinciden,Coinciden las tres fuentes
Rosa.borboniana,,,,Revisar,Sin resultados en las tres fuentes
Rosa.acicularis,Rosa acicularis,Rosa acicularis,Rosa acicularis,Coinciden,Coinciden las tres fuentes
Rosa.multtlflora,,,Rosa multiflora,Revisar,Falta resultado en una o más fuentes
Rosa.humilis,,,Rosa gallica,Revisar,Falta resultado en una o más fuentes
Roscheria.melanochaetes,Roscheria melanochaetes,Roscheria melanochaetes,Roscheria melanochaetes,Coinciden,Coinciden las tres fuentes
Rosmarinus.officinalis,Salvia rosmarinus,Salvia rosmarinus,Salvia rosmarinus,Coinciden,Coinciden las tres fuentes
Roussea.simplex.,Roussea simplex,Roussea simplex,Roussea simplex,Coinciden,Coinciden las tres fuentes
Rubus.ulmifolius,Rubus ulmifolius,Rubus ulmifolius,Rubus ulmifolius,Coinciden,Coinciden las tres fuentes
Rubus.idaeus,Rubus idaeus,Rubus idaeus,Rubus idaeus,Coinciden,Coinciden las tres fuentes
Rubus.occidentalis,Rubus occidentalis,,Rubus occidentalis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Rubus.palmatus,Rubus palmatus,,Rubus palmatus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Rubus.alcefolius,,Rubus alceifolius,Rubus alceifolius,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Rubus.microphyllus,Rubus microphyllus,Rubus microphyllus,Rubus microphyllus,Coinciden,Coinciden las tres fuentes
Rubus.deliciosus,Rubus deliciosus,Rubus deliciosus,Rubus deliciosus,Coinciden,Coinciden las tres fuentes
Rubus.buergeri,Rubus buergeri,Rubus buergeri,Rubus buergeri,Coinciden,Coinciden las tres fuentes
Rubus.parvifolius,Rubus parvifolius,,Rubus parvifolius,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Rubus.grayanus,Rubus grayanus,Rubus grayanus,Rubus grayanus,Coinciden,Coinciden las tres fuentes
Rubus.crataegifolius,Rubus crataegifolius,Rubus crataegifolius,Rubus crataegifolius,Coinciden,Coinciden las tres fuentes
Rubus.villosus,,,,Revisar,Sin resultados en las tres fuentes
Rubus.fruticosus,Rubus fruticosus,Rubus fruticosus,Rubus fruticosus,Coinciden,Coinciden las tres fuentes
Rubus.sieboldii,Rubus sieboldii,Rubus sieboldii,Rubus sieboldii,Coinciden,Coinciden las tres fuentes
Rubus.pungens.,Rubus pungens,,Rubus pungens,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Rubus.phoenicolasius,Rubus phoenicolasius,Rubus phoenicolasius,Rubus phoenicolasius,Coinciden,Coinciden las tres fuentes
Rubus.illecebrosus,Rubus illecebrosus,Rubus illecebrosus,Rubus illecebrosus,Coinciden,Coinciden las tres fuentes
Rubus.croceacanthus,Rubus croceacanthus,Rubus croceacanthus,Rubus croceacanthus,Coinciden,Coinciden las tres fuentes
Rubus.strigosus,Rubus idaeus subsp. strigosus,Rubus idaeus subsp. strigosus,Rubus idaeus subsp. strigosus,Coinciden,Coinciden las tres fuentes
Rubus.canadensis,Rubus canadensis,,Rubus canadensis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Rudbeckia.subtomentosa,Rudbeckia subtomentosa,Rudbeckia subtomentosa,Rudbeckia subtomentosa,Coinciden,Coinciden las tres fuentes
Rudbeckia.laciniata,Rudbeckia laciniata,Rudbeckia laciniata,Rudbeckia laciniata,Coinciden,Coinciden las tres fuentes
Rudbeckia.triloba,Rudbeckia triloba,Rudbeckia triloba,Rudbeckia triloba,Coinciden,Coinciden las tres fuentes
Rudbeckia.hirta,Rudbeckia hirta,Rudbeckia hirta,Rudbeckia hirta,Coinciden,Coinciden las tres fuentes
Ruellia.ciliosa,Ruellia caroliniensis subsp. ciliosa,Ruellia caroliniensis subsp. ciliosa,Ruellia caroliniensis subsp. ciliosa,Coinciden,Coinciden las tres fuentes
Ruellia.strepens,Ruellia strepens,Ruellia strepens,Ruellia strepens,Coinciden,Coinciden las tres fuentes
Ruta.chalepensis,Ruta chalepensis,Ruta chalepensis,Ruta chalepensis,Coinciden,Coinciden las tres fuentes
Ruta.graveolens,Ruta graveolens,Ruta graveolens,Ruta graveolens,Coinciden,Coinciden las tres fuentes
Rydbergia.grandilfora,,Hymenoxys grandiflora,Hymenoxys grandiflora,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Saggitaria.quyanensis,,Sagittaria guayanensis subsp. guayanensis,Sagittaria guayanensis subsp. guayanensis,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Sagittaria.latifolia,Sagittaria latifolia,Sagittaria latifolia,Sagittaria latifolia,Coinciden,Coinciden las tres fuentes
Sagittaria.trifolia,Sagittaria trifolia,Sagittaria trifolia,Sagittaria trifolia,Coinciden,Coinciden las tres fuentes
Salix.repens,Salix repens,,Salix repens,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Salix.humilis,Salix humilis,,Salix humilis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Salix.aurita,Salix aurita,,Salix aurita,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Salix.amygdaloides,Salix amygdaloides,Salix amygdaloides,Salix amygdaloides,Coinciden,Coinciden las tres fuentes
Salix.sieboldiana,Salix sieboldiana,Salix sieboldiana,Salix sieboldiana,Coinciden,Coinciden las tres fuentes
Salix.cordata,Salix cordata,,Salix cordata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Salix.reticulata,Salix reticulata,Salix reticulata,Salix reticulata,Coinciden,Coinciden las tres fuentes
Salix.gracilistyla,Salix gracilistyla,Salix gracilistyla,Salix gracilistyla,Coinciden,Coinciden las tres fuentes
Salix.vulpina,Salix vulpina,Salix vulpina,Salix vulpina,Coinciden,Coinciden las tres fuentes
Salix.nigra,Salix nigra,Salix nigra,Salix nigra,Coinciden,Coinciden las tres fuentes
Salix.arctica,Salix arctica,Salix arctica,Salix arctica,Coinciden,Coinciden las tres fuentes
Salix.polaris,Salix polaris,Salix polaris,Salix polaris,Coinciden,Coinciden las tres fuentes
Salix.longifolia,,,Salix viminalis,Revisar,Falta resultado en una o más fuentes
Salix.fragilis,Salix fragilis,,Salix × fragilis,Revisar,Falta resultado en una o más fuentes
Salix.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Salix.lanata,Salix lanata,,Salix lanata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Salpiglossus.sp,,,,Revisar,Sin resultados en las tres fuentes
Salsola.komarovii,Salsola komarovii,Salsola komarovii,Salsola komarovii,Coinciden,Coinciden las tres fuentes
Salvia.japonica,Salvia japonica,Salvia japonica,Salvia japonica,Coinciden,Coinciden las tres fuentes
Salvia.glabrescens,Salvia glabrescens,Salvia glabrescens,Salvia glabrescens,Coinciden,Coinciden las tres fuentes
Salvia.triloba,Salvia fruticosa,Salvia fruticosa,Salvia fruticosa,Coinciden,Coinciden las tres fuentes
Salvia.verbenaca,Salvia verbenaca,Salvia verbenaca,Salvia verbenaca,Coinciden,Coinciden las tres fuentes
Sambucus.canadensis,Sambucus canadensis,,Sambucus canadensis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Sambucus.racemosa,Sambucus racemosa,Sambucus racemosa,Sambucus racemosa,Coinciden,Coinciden las tres fuentes
Samolus.floribundus,Samolus parviflorus,Samolus parviflorus,Samolus parviflorus,Coinciden,Coinciden las tres fuentes
Sanguinaria.canadensis,Sanguinaria canadensis,Sanguinaria canadensis,Sanguinaria canadensis,Coinciden,Coinciden las tres fuentes
Sanguisorba.officinalis,Sanguisorba officinalis,Sanguisorba officinalis,Sanguisorba officinalis,Coinciden,Coinciden las tres fuentes
Sanicula.marilandica,Sanicula marilandica,Sanicula marilandica,Sanicula marilandica,Coinciden,Coinciden las tres fuentes
Sanicula.canadensis,Sanicula canadensis,Sanicula canadensis,Sanicula canadensis,Coinciden,Coinciden las tres fuentes
Sanicula.graveolens,Sanicula graveolens,Sanicula graveolens,Sanicula graveolens,Coinciden,Coinciden las tres fuentes
Saponaria.officinalis,Saponaria officinalis,Saponaria officinalis,Saponaria officinalis,Coinciden,Coinciden las tres fuentes
Sarcopoterium.spinosum,Sarcopoterium spinosum,Sarcopoterium spinosum,Sarcopoterium spinosum,Coinciden,Coinciden las tres fuentes
Sarcostemma.clausum,Funastrum clausum,Funastrum clausum,Funastrum clausum,Coinciden,Coinciden las tres fuentes
Sassafras.variifolium,Sassafras albidum,Sassafras albidum,Sassafras albidum,Coinciden,Coinciden las tres fuentes
Satchys.tenuifolia,,,Stachys tenuifolia,Revisar,Falta resultado en una o más fuentes
Satureja.thymbra,Satureja thymbra,Satureja thymbra,Satureja thymbra,Coinciden,Coinciden las tres fuentes
Saussurea.yanagisawae,Saussurea yanagisawae,Saussurea yanagisawae,Saussurea yanagisawae,Coinciden,Coinciden las tres fuentes
Saussurea.gracilis,Saussurea gracilis,Saussurea gracilis,Saussurea gracilis,Coinciden,Coinciden las tres fuentes
Sauvagesia.rubiginosa,Sauvagesia rubiginosa,Sauvagesia rubiginosa,Sauvagesia rubiginosa,Coinciden,Coinciden las tres fuentes
Sauvagesia.angustifolia,Sauvagesia angustifolia,Sauvagesia angustifolia,Sauvagesia angustifolia,Coinciden,Coinciden las tres fuentes
Saxifraga.caespitosa,,,Saxifraga paniculata,Revisar,Falta resultado en una o más fuentes
Saxifraga.flagellaris,Saxifraga flagellaris,Saxifraga flagellaris,Saxifraga flagellaris,Coinciden,Coinciden las tres fuentes
Saxifraga.cernua,Saxifraga cernua,Saxifraga cernua,Saxifraga cernua,Coinciden,Coinciden las tres fuentes
Saxifraga.nivalis,,,Micranthes nivalis,Revisar,Falta resultado en una o más fuentes
Saxifraga.oppositifolia,Saxifraga oppositifolia,Saxifraga oppositifolia,Saxifraga oppositifolia,Coinciden,Coinciden las tres fuentes
Saxifraga.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Saxifraga.hirculus,Saxifraga hirculus,Saxifraga hirculus,Saxifraga hirculus,Coinciden,Coinciden las tres fuentes
Saxifraga.tricuspidata,Saxifraga tricuspidata,Saxifraga tricuspidata,Saxifraga tricuspidata,Coinciden,Coinciden las tres fuentes
Saxifraga.aizoides,Saxifraga aizoides,Saxifraga aizoides,Saxifraga aizoides,Coinciden,Coinciden las tres fuentes
Scabiosa.stellata,,Lomelosia stellata,Lomelosia stellata,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Scabiosa.atropurpurea,Sixalix atropurpurea subsp. atropurpurea,Scabiosa atropurpurea,Scabiosa atropurpurea,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Scabiosa.japonica,Scabiosa japonica,Scabiosa japonica,Scabiosa japonica,Coinciden,Coinciden las tres fuentes
Scaevola.frutescens,Scaevola taccada,Scaevola taccada,Scaevola taccada,Coinciden,Coinciden las tres fuentes
Scaevola.sericea,Scaevola taccada,Scaevola taccada,Scaevola taccada,Coinciden,Coinciden las tres fuentes
Scalesia.beurii,,Scalesia baurii,Scalesia baurii,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Scalesia.sp1.M.PL.026,,,,Revisar,Sin resultados en las tres fuentes
Scalesia.helleri,Scalesia helleri,Scalesia helleri,Scalesia helleri,Coinciden,Coinciden las tres fuentes
Scalesia.pedunculata,Scalesia pedunculata,Scalesia pedunculata,Scalesia pedunculata,Coinciden,Coinciden las tres fuentes
Scalesia.affinis,Scalesia affinis,Scalesia affinis,Scalesia affinis,Coinciden,Coinciden las tres fuentes
Scaligeria.cretica,Scaligeria napiformis,Scaligeria napiformis,Scaligeria napiformis,Coinciden,Coinciden las tres fuentes
Scandix.pecten-veneris,Scandix pecten-veneris,Scandix pecten-veneris,Scandix pecten-veneris,Coinciden,Coinciden las tres fuentes
Scandix.australis,Scandix australis,Scandix australis,Scandix australis,Coinciden,Coinciden las tres fuentes
Scaveola.plumieri,Scaevola taccada,Scaevola plumieri,Scaevola plumieri,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Schefflera.octophylla,Heptapleurum heptaphyllum,Heptapleurum heptaphyllum,Heptapleurum heptaphyllum,Coinciden,Coinciden las tres fuentes
Schima.wallichii,Schima wallichii,Schima wallichii,Schima wallichii,Coinciden,Coinciden las tres fuentes
Schinus.patagonicus,Schinus patagonicus,Schinus patagonica,Schinus patagonicus,Revisar,Coinciden GBIF y WFO; rWCVP es diferente
Schizanthus.hookeri,Schizanthus hookeri,Schizanthus hookeri,Schizanthus hookeri,Coinciden,Coinciden las tres fuentes
Schizanthus.garhamii,,Schizanthus grahamii,Schizanthus grahamii,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Schizophragma.hydrangeoides,Hydrangea hydrangeoides,Hydrangea hydrangeoides,Hydrangea hydrangeoides,Coinciden,Coinciden las tres fuentes
Scilla.autumnalis,Scilla autumnalis,Prospero autumnale,Prospero autumnale,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Scirpus.triqueter,Scirpus triqueter,,Schoenoplectus americanus,Revisar,Falta resultado en una o más fuentes
Scleria.terrestris,Scleria terrestris,Scleria terrestris,Scleria terrestris,Coinciden,Coinciden las tres fuentes
Scolymus.hispanicus,Scolymus hispanicus,Scolymus hispanicus,Scolymus hispanicus,Coinciden,Coinciden las tres fuentes
Scorzonea.humilis,,,Scorzonera humilis,Revisar,Falta resultado en una o más fuentes
Scorzonera.lanata,,,,Revisar,Sin resultados en las tres fuentes
Scorzonera.cana,Scorzonera cana,Scorzonera cana,Scorzonera cana,Coinciden,Coinciden las tres fuentes
Scrophularia.marilandica,Scrophularia marilandica,Scrophularia marilandica,Scrophularia marilandica,Coinciden,Coinciden las tres fuentes
Scrophularia.glabrata,Scrophularia glabrata,,Scrophularia glabrata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Scutellaria.canescans,,Scutellaria incana var. incana,Scutellaria incana var. incana,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Scutellaria.parvula,Scutellaria parvula,Scutellaria parvula,Scutellaria parvula,Coinciden,Coinciden las tres fuentes
Scutellaria.lateriflora,Scutellaria lateriflora,Scutellaria lateriflora,Scutellaria lateriflora,Coinciden,Coinciden las tres fuentes
Scutellaria.resinosa,Scutellaria resinosa,Scutellaria resinosa,Scutellaria resinosa,Coinciden,Coinciden las tres fuentes
Scutellaria.versicolor,Scutellaria ovata subsp. ovata,Scutellaria ovata subsp. ovata,Scutellaria ovata subsp. ovata,Coinciden,Coinciden las tres fuentes
Scypanthus.elegans,,Scyphanthus elegans,Scyphanthus elegans,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Sebatia.angularis,,Sabatia angularis,Sabatia angularis,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Securinega.suffruticosa,Flueggea suffruticosa,Flueggea suffruticosa,Flueggea suffruticosa,Coinciden,Coinciden las tres fuentes
Sedum.formosanum,Sedum formosanum,Sedum formosanum,Sedum formosanum,Coinciden,Coinciden las tres fuentes
Sedum.sediforme,,,Petrosedum sediforme,Revisar,Falta resultado en una o más fuentes
Sedum.stenopetalum,Sedum stenopetalum,Sedum stenopetalum,Sedum stenopetalum,Coinciden,Coinciden las tres fuentes
Sedum.aizoon,Sedum aizoon,Phedimus aizoon,Phedimus aizoon,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Senecio.madagascariensis,Senecio madagascariensis,,Senecio madagascariensis,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Senecio.bustillosianus,Senecio bustillosianus,Senecio bustillosianus,Senecio bustillosianus,Coinciden,Coinciden las tres fuentes
Senecio.subulatus,Senecio subulatus,,Senecio subulatus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Senecio.bidwilli,Brachyglottis bidwillii,Brachyglottis bidwillii,Brachyglottis bidwillii,Coinciden,Coinciden las tres fuentes
Senecio.steetzii,Pericallis steetzii,Pericallis steetzii,Pericallis steetzii,Coinciden,Coinciden las tres fuentes
Senecio.nemorensis,Senecio nemorensis,Senecio nemorensis,Senecio nemorensis,Coinciden,Coinciden las tres fuentes
Senecio.sp,,Senecio rosmarinifolius,,Revisar,Falta resultado en una o más fuentes
Senecio.pierotii,Tephroseris pierotii,Tephroseris pierotii,Senecio pierotii,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Senecio.selloi,Senecio selloi,Senecio selloi,Senecio selloi,Coinciden,Coinciden las tres fuentes
Senecio.pectinatus,Senecio pectinatus,,Senecio flaccidus var. monoensis,Revisar,Falta resultado en una o más fuentes
Senecio.filaginoides,Senecio filaginoides,Senecio filaginoides,Senecio filaginoides,Coinciden,Coinciden las tres fuentes
Senecio.aureus,Senecio aureus,,Senecio aureus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Senecio.scorzoneroides,Dolichoglottis scorzoneroides,Dolichoglottis scorzoneroides,Dolichoglottis scorzoneroides,Coinciden,Coinciden las tres fuentes
Senecio.crithmoides,Senecio crithmoides,Senecio crithmoides,Senecio crithmoides,Coinciden,Coinciden las tres fuentes
Senecio.jacobea,,,Jacobaea vulgaris,Revisar,Falta resultado en una o más fuentes
Senecio.tricephalus.,Senecio tricephalus,,Senecio tricephalus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Senecio.bravensis,Senecio bravensis,Senecio bravensis,Senecio bravensis,Coinciden,Coinciden las tres fuentes
Senecio.lithostaurus,Senecio lithostaurus,Senecio lithostaurus,Senecio lithostaurus,Coinciden,Coinciden las tres fuentes
Senecio.pulcher,Senecio pulcher,Senecio pulcher,Senecio pulcher,Coinciden,Coinciden las tres fuentes
Senecio.arechavaletae,Senecio arechavaletae,Senecio arechavaletae,Senecio arechavaletae,Coinciden,Coinciden las tres fuentes
Senecio.francisci,Senecio francisci,Senecio francisci,Senecio francisci,Coinciden,Coinciden las tres fuentes
Senecio.looseri.,Senecio looseri,Senecio micropifolius,Senecio looseri,Revisar,Coinciden GBIF y WFO; rWCVP es diferente
Senecio.bellidioides,Brachyglottis bellidioides,Brachyglottis bellidioides,Brachyglottis lagopus,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Senecio.vulgaris,Senecio vulgaris,Senecio vulgaris,Senecio vulgaris,Coinciden,Coinciden las tres fuentes
Senecio.gunnii,Senecio gunnii,Senecio gunnii,Senecio gunnii,Coinciden,Coinciden las tres fuentes
Senecio.nikoensis,Nemosenecio nikoensis,Nemosenecio nikoensis,Senecio nikoensis,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Senecio.lautus,Senecio lautus,Senecio lautus,Senecio lautus,Coinciden,Coinciden las tres fuentes
Senecio.erucaeformis,,Senecio eruciformis,Senecio eruciformis,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Senecio.grisebachii,Senecio grisebachii,Senecio grisebachii,Senecio grisebachii,Coinciden,Coinciden las tres fuentes
Senecio.cannabifolius,Jacobaea cannabifolia,Jacobaea cannabifolia,Jacobaea cannabifolia,Coinciden,Coinciden las tres fuentes
Serissa.japonica,Buchozia japonica,Serissa japonica,Buchozia japonica,Revisar,Coinciden GBIF y WFO; rWCVP es diferente
Serratula.coronata.insularis,Serratula coronata subsp. insularis,Serratula coronata subsp. insularis,Serratula coronata,Revisar,Coinciden GBIF y rWCVP; WFO es diferente
Sesuvium.portulacastrum,Sesuvium portulacastrum,Sesuvium portulacastrum,Sesuvium portulacastrum,Coinciden,Coinciden las tres fuentes
Setaria.geniculta,,,Setaria parviflora,Revisar,Falta resultado en una o más fuentes
Seymeria.macrophylla,Dasistoma macrophyllum,Dasistoma macrophylla,Dasistoma macrophylla,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Sherardia.arvensis,Sherardia arvensis,Sherardia arvensis,Sherardia arvensis,Coinciden,Coinciden las tres fuentes
Shultesia.brachyptera,,Schultesia brachyptera,Schultesia brachyptera,Revisar,Coinciden rWCVP y WFO; GBIF sin resultado
Sicyos.angulatus,Sicyos angulatus,,Sicyos angulatus,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Sida.flavescens,Krapovickasia flavescens,Krapovickasia flavescens,Krapovickasia flavescens,Coinciden,Coinciden las tres fuentes
Sida.acuta,Sida acuta,Sida acuta,Sida acuta,Coinciden,Coinciden las tres fuentes
Sida.spinosa,Sida spinosa,,Sida spinosa,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Sida.rhombifolia,Sida rhombifolia,Sida rhombifolia,Sida rhombifolia,Coinciden,Coinciden las tres fuentes
Sida.paniculata,,,Sidastrum paniculatum,Revisar,Falta resultado en una o más fuentes
Sideritis.nervosa,Sideritis nervosa,Sideritis nervosa,Sideritis nervosa,Coinciden,Coinciden las tres fuentes
Sideritis.argosphacelus,Sideritis cretica subsp. cretica,Sideritis cretica subsp. cretica,Sideritis cretica subsp. cretica,Coinciden,Coinciden las tres fuentes
Sideroxylon.puberulum,Sideroxylon puberulum,Sideroxylon puberulum,Sideroxylon puberulum,Coinciden,Coinciden las tres fuentes
Sideroxylon.cinereum,Sideroxylon cinereum,,Sideroxylon cinereum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Siegesbeckia.orientalis,Sigesbeckia orientalis,Sigesbeckia orientalis,Sigesbeckia orientalis,Coinciden,Coinciden las tres fuentes
Sieversia.turbinata,Geum rossii var. turbinatum,Geum rossii var. turbinatum,Geum rossii var. turbinatum,Coinciden,Coinciden las tres fuentes
Sieversia.ciliata,Geum triflorum var. ciliatum,Geum triflorum var. ciliatum,,Revisar,Coinciden GBIF y rWCVP; WFO sin resultado
Silene.colorata,Silene colorata,,Silene colorata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Silene.acaulis,Silene acaulis,Silene acaulis,Silene acaulis,Coinciden,Coinciden las tres fuentes
Silene.sp1.M.PL.014,,,,Revisar,Sin resultados en las tres fuentes
Silene.gallica,Silene gallica,Silene gallica,Silene gallica,Coinciden,Coinciden las tres fuentes
Silene.stellata,Silene stellata,,Silene stellata,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Silene.vulgaris,Silene vulgaris,Silene vulgaris,Silene vulgaris,Coinciden,Coinciden las tres fuentes
Silene.nivea,Silene nivea,Silene nivea,Silene nivea,Coinciden,Coinciden las tres fuentes
Silene.dioica,Silene dioica,Silene dioica,Silene dioica,Coinciden,Coinciden las tres fuentes
Silene.halli,Silene scouleri subsp. hallii,Silene scouleri subsp. hallii,Silene scouleri subsp. hallii,Coinciden,Coinciden las tres fuentes
Silphium.terebinthinaceum,Silphium terebinthinaceum,Silphium terebinthinaceum,Silphium terebinthinaceum,Coinciden,Coinciden las tres fuentes
Silphium.integrifolium,Silphium integrifolium,Silphium integrifolium,Silphium integrifolium,Coinciden,Coinciden las tres fuentes
Silphium.laciniatum,Silphium laciniatum,,Silphium laciniatum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Silphium.perfoliatum,Silphium perfoliatum,Silphium perfoliatum,Silphium perfoliatum,Coinciden,Coinciden las tres fuentes
Sinningia.sp1.M.PL.030,,,,Revisar,Sin resultados en las tres fuentes
Sipanea.galioides,Sipanea galioides,Sipanea galioides,Sipanea galioides,Coinciden,Coinciden las tres fuentes
Siphanthera.cordifolia,Siphanthera cordifolia,Siphanthera cordifolia,Siphanthera cordifolia,Coinciden,Coinciden las tres fuentes
Sisymbrium.orientale,Sisymbrium orientale,Sisymbrium orientale,Sisymbrium orientale,Coinciden,Coinciden las tres fuentes
Sisymbrium.canescens,Sisymbrium canescens,,Descurainia erodiifolia,Revisar,Falta resultado en una o más fuentes
Sisyranthus.trichostomus,Sisyranthus trichostomus,Sisyranthus trichostomus,Sisyranthus trichostomus,Coinciden,Coinciden las tres fuentes
Sisyrinchium.gramineum,Sisyrinchium angustifolium,Sisyrinchium angustifolium,Sisyrinchium angustifolium,Coinciden,Coinciden las tres fuentes
Sisyrinchium.philippii,Olsynium philippii,Olsynium philippii,Olsynium philippii,Coinciden,Coinciden las tres fuentes
Sisyrinchium.arenarium,Sisyrinchium arenarium,Sisyrinchium arenarium,Sisyrinchium arenarium,Coinciden,Coinciden las tres fuentes
Sisyrinchium.iridifolium,Sisyrinchium micranthum,Sisyrinchium micranthum,Sisyrinchium micranthum,Coinciden,Coinciden las tres fuentes
Sisyrinchium.angustifolium,Sisyrinchium angustifolium,,Sisyrinchium angustifolium,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Sisyrinchium.junceum,Olsynium junceum,Olsynium junceum,Olsynium junceum,Coinciden,Coinciden las tres fuentes
Sium.cicutaefolium,Sium suave,Sium suave,Sium suave,Coinciden,Coinciden las tres fuentes
Smilacina.racemosa,Maianthemum racemosum,Maianthemum racemosum,Maianthemum racemosum,Coinciden,Coinciden las tres fuentes
Smilacina.stellata,Maianthemum stellatum,Maianthemum stellatum,Maianthemum stellatum,Coinciden,Coinciden las tres fuentes
Smilacina.trifolia,Maianthemum trifolium,Maianthemum trifolium,Maianthemum trifolium,Coinciden,Coinciden las tres fuentes
Smilax.anceps,Smilax anceps,Smilax anceps,Smilax anceps,Coinciden,Coinciden las tres fuentes
Smilax.herbacea,Smilax herbacea,,Smilax herbacea,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Smilax.aspera,Smilax aspera,Smilax aspera,Smilax aspera,Coinciden,Coinciden las tres fuentes
Smilax.hispida,Smilax hispida,Smilax tamnoides,Smilax tamnoides,Revisar,Coinciden rWCVP y WFO; GBIF es diferente
Sobralia.liliastrum,Sobralia liliastrum,Sobralia liliastrum,Sobralia liliastrum,Coinciden,Coinciden las tres fuentes
Solanum.carolinense,Solanum carolinense,Solanum carolinense,Solanum carolinense,Coinciden,Coinciden las tres fuentes
Solanum.melongena,Solanum melongena,,Solanum melongena,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Solanum.chacoense,Solanum chacoense,Solanum chacoense,Solanum chacoense,Coinciden,Coinciden las tres fuentes
Solanum.tomatillo,Solanum crispum,Solanum crispum,Solanum crispum,Coinciden,Coinciden las tres fuentes
Solanum.nigrum,Solanum nigrum,Solanum nigrum,Solanum nigrum,Coinciden,Coinciden las tres fuentes
Solanum.rostratum,Solanum angustifolium,,Solanum rostratum,Revisar,Falta resultado en una o más fuentes
Solanum.torvum,Solanum torvum,,Solanum torvum,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Solanum.americanum,Solanum americanum,Solanum americanum,Solanum americanum,Coinciden,Coinciden las tres fuentes
Solanum.havanense,Solanum havanense,Solanum havanense,Solanum havanense,Coinciden,Coinciden las tres fuentes
Solanum.erianthum,Solanum erianthum,Solanum erianthum,Solanum erianthum,Coinciden,Coinciden las tres fuentes
Solenomelus.sisyrinchium,Solenomelus segethi,Solenomelus segethi,Solenomelus segethi,Coinciden,Coinciden las tres fuentes
Solidago.virg-aurea,Solidago virgaurea,,Solidago virgaurea,Revisar,Coinciden GBIF y WFO; rWCVP sin resultado
Solidago.canadensis,Solidago canadensis,Solidago canadensis,Solidago canadensis,Coinciden,Coinciden las tres fuentes
Solidago.sp1M.PL.073,,,,Revisar,Sin resultados en las tres fuentes
